"Country","c1_security_apparatus_2023","c1_security_apparatus_2022","c1_security_apparatus_2021","c1_security_apparatus_2020","c2_factionalized_elites_2023","c2_factionalized_elites_2022","c2_factionalized_elites_2021","c2_factionalized_elites_2020","c3_group_grievance_2023","c3_group_grievance_2022","c3_group_grievance_2021","c3_group_grievance_2020"
"Bahrain",4.1,4.4,4.1,3.55034180122594,1.4,1.7,1.7,2,9.5,9.6,9.6,9.3
"China",6.5,6.2,5.9,5.6,3.1,3.4,3.7,4,6.5,6.8,7.1,7.4
"Turkmenistan",5.6,5.9,5.4,4.8506531946407,2.3,2.6,2.9,3.2,5.3,5.4,5.6,5.7
"Paraguay",5.7,6,5.5,5,2.9,3.2,3,3,4.7,4.7,4.6,4.9
"Maldives",5.2,5.5,5.4,5.1,3.5,3.4,3.7,4,3.4,3.7,4,3.9
"Ghana",7.4,7.2,6.9,6.78751567606487,3.5,3.8,4,4.3,3,3.3,3.2,3.5
"Jamaica",4.8,5.1,4.6,4.1,2.2,2.5,2.8,2.9,1.6,1.9,2.2,2.5
"Guyana",5.8,6.1,5.8,5.3,3,3.3,3.4,3.6,5.9,6.2,6.5,6.4
"Dominican Republic",6.4,6.7,6.7,6.2,2.6,2.5,2.6,2.7,4.6,4.6,4.6,4.9
"Kazakhstan",4.1,4.4,4.1,3.6,2.3,2,2.1,2.3,7.4,7.7,8,8.21912351723843
"Namibia",8.1,8.4,8.1,7.90908786402233,3.6,3.9,4.1,4.2,4.2,4.3,4.6,4.9
"Macedonia",4.2,NA,NA,2.2,6.3,NA,NA,7.2,5.4,NA,NA,6.3
"Cape Verde",6.2,NA,NA,6.3,3.6,NA,NA,3.9,2.4,NA,NA,3.2
"Belize",5,5.3,5,4,3,3.3,3.1,2.8,4.7,4.7,4.7,4.4
"Suriname",5.5,5.8,5.3,4.8,2.8,3.1,3.1,2.8,7,6.7,6.4,6.1
"Cuba",5.9,5.8,5,5,3.2,2.7,3,3.1,2.2,2.5,2.8,3.1
"Vietnam",4.4,4.7,5,5,3.9,4.2,4.5,4.4,4.8,5.1,5.2,5.5
"Montenegro",4.1,4.4,3.9,1.9,3.6,3.1,3.4,3.7,9.3,9.2,9.1,9
"Cyprus",3.4,3.7,3.4,2.9,5.9,5.6,5.3,5,4.5,4.8,5.1,5.4
"Albania",4.1,4.4,4.1,3.6,2.8,2.5,2.6,2.93524101508044,3.5,3.8,4.1,4.4
"Botswana",7.8,7.9,7.6,7.63648349991703,3.1,3.4,3.3,3.6,3.7,4,3.9,4
"Greece",4.1,4.4,3.9,3.4,5.3,5.6,5.9,5.8,4,4.3,4.2,4.5
"Malaysia",5.1,5,4.4,4.4,3.2,3.1,3,3.3,4.8,5.1,5.4,5.7
"Brunei Darussalam",2.8,2.7,2.8,2.8,1.1,0.8,1.1,1.3,7.1,6.8,6.5,6.2
"Antigua and Barbuda",3.7,4,4.3,4,2.7,2.5,2.5,2.6,3.6,3.6,3.6,3.6
"Grenada",4.1,4.4,3.9,3.9,2.2,1.9,2.2,2.3,3.6,3.6,3.6,3.6
"Seychelles",4.2,4.5,4.2,4.2,2.3,2.2,2.1,2.3,3.9,4,4.1,4.2
"Romania",4.5,4.8,4.3,2.3,4,2,2.1,2.3,5.4,5.7,6,5.9
"Trinidad and Tobago",4.1,4,3.9,3.6,2.5,2.8,2.5,2.6,3.4,3.3,3,3.3
"Bulgaria",5.4,5.7,5.2,3.2,4.4,3.4,3.7,4,4,4.3,4.2,4.51611162568825
"Mongolia",4.8,5,4.7,4.66944718307876,2.3,2.6,2.5,2.3,2.3,2.4,2.6,2.9
"Kuwait",4.4,4.7,4.6,4.1,2,2.3,2.4,2.61667862996066,4.7,4.4,4.1,3.8
"Bahamas",6.3,6.6,7.1,6.8,2.5,2.4,2.6,2.7,2.3,2.6,2.9,3.2
"Hungary",3.5,3.8,3.3,1.25159939316222,5.4,5.7,5.6,5.6,3.3,3.6,3.6,3.9
"Panama",4.9,4.8,5.3,3.8,2.4,2.3,2.2,2.5,6.2,5.9,5.6,5.57863609378842
"Oman",4.2,4.3,4.5,3.99620814697999,1.6,1.9,1.9,1.8,2.9,2.6,2.3,2
"Croatia",4.8,5.1,4.6,2.6,6.8,6.7,6.6,6.1,4.3,4.6,4.9,4.9
"Argentina",5.7,5.6,5.3,3.3,1.6,1.9,1.9,2,3.2,3.5,3.8,4.1
"Barbados",3.7,4,4.3,4.3,1.9,1.6,1.3,1.6,2.3,2.6,2.9,3.2
"United States",5.2,5.5,5,3,2.2,2.5,2.3,2.1,6.5,6.8,6.5,6.2
"Poland",3.8,4.1,3.6,2.1,5.9,2.5,2.4,2.7,5,5.3,5.6,5.9
"Israel",4.8,5.1,4.8,NA,1.7,1.2,1.2,NA,7.1,6.8,6.7,NA
"Spain",3.3,3.6,3.5,1.5,1.9,2.2,2.2,1.9,7.3,7,6.7,6.4
"Latvia",3.2,3.5,3,2,3,2,1.9,2.1,7.7,8,8.3,8.62585859279627
"Italy",4.6,4.9,5.2,3.2,4.3,4.6,4.5,5,3.7,4,4.3,4.6
"Chile",5.9,6.2,5.9,4.4,1.5,1.8,1.9,1.9,3.8,3.5,3.2,3.1
"United Kingdom",3.4,3.9,3.6,1.62093803734609,2.4,1.9,1.7,1.73370872103833,6.1,6.1,6.1,6.4
"Qatar",3,3.1,3.4,2.9,1.3,1.6,1.4,1.7,2.8,3.1,3.4,3.7
